State,Avg_Ratio,Median_Ratio,Min_Ratio,Max_Ratio,Hospital_Count,Record_Count
MA,1.034,1.031,0.594,1.566,52,240
NJ,1.028,1.028,0.686,1.424,61,272
FL,1.023,1.014,0.743,1.520,164,771
IL,1.019,1.014,0.830,1.583,109,491
MS,1.014,1.011,0.761,1.305,50,185
AL,1.014,1.005,0.819,1.385,67,247
WV,1.012,1.007,0.782,1.303,22,95
GA,1.011,1.008,0.844,1.510,88,346
NV,1.011,1.004,0.793,1.252,19,94
KY,1.010,1.005,0.792,1.386,59,227
CA,1.010,1.007,0.470,1.484,253,1038
OH,1.008,1.003,0.753,1.630,111,481
LA,1.008,1.002,0.759,1.304,67,222
SC,1.007,0.996,0.757,1.365,51,202
PA,1.007,1.002,0.662,1.482,126,545
TN,1.005,1.001,0.691,1.326,71,285
MI,1.005,0.997,0.778,1.480,83,362
TX,1.004,1.000,0.571,1.478,244,898
NY,1.002,1.006,0.577,1.327,124,520
MO,1.001,0.994,0.799,1.419,63,284
AZ,1.001,1.000,0.798,1.259,57,232
AR,1.000,1.004,0.719,1.284,40,156
IN,0.998,0.991,0.601,1.335,76,321
OK,0.998,0.987,0.601,1.537,64,226
CT,0.997,0.994,0.761,1.286,25,112
NH,0.995,0.990,0.842,1.212,13,63
NC,0.994,0.990,0.633,1.485,77,335
VA,0.994,0.993,0.652,1.294,69,302
DC,0.992,0.981,0.896,1.155,6,28
RI,0.989,0.981,0.620,1.327,9,37
VT,0.988,0.972,0.874,1.129,6,27
AK,0.987,0.981,0.754,1.227,8,36
MD,0.986,0.980,0.741,1.392,41,195
WY,0.985,0.973,0.907,1.218,8,33
HI,0.984,0.994,0.754,1.156,11,42
NM,0.984,0.991,0.799,1.132,23,76
WI,0.982,0.981,0.754,1.263,63,245
DE,0.979,0.976,0.795,1.207,6,31
NE,0.979,0.979,0.820,1.198,22,93
MN,0.978,0.975,0.789,1.250,44,175
IA,0.972,0.971,0.785,1.194,29,131
CO,0.967,0.969,0.768,1.331,45,183
KS,0.966,0.968,0.552,1.420,42,157
SD,0.965,0.974,0.659,1.252,15,49
WA,0.964,0.970,0.669,1.153,45,207
OR,0.960,0.962,0.788,1.276,32,131
UT,0.956,0.963,0.741,1.271,29,99
MT,0.954,0.958,0.794,1.146,10,53
ME,0.952,0.966,0.684,1.173,13,49
ND,0.947,0.965,0.779,1.079,7,35
ID,0.943,0.950,0.714,1.141,14,56

